order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,ETL_updated_ts,ETL_DATASOURCE_NAME,order_key
1961864118,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,ON TIME,3197.07,CASH,63230,4771,2025-10-06 22:10:06.028332,1,1471160553
1549769649,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,ON TIME,976.55,CASH,14983,7534,2025-10-06 22:10:06.028332,1,1082710678
9185164487,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,ON TIME,839.05,UPI,39859,9886,2025-10-06 22:10:06.028332,1,1253483929
9644738826,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,ON TIME,440.23,CARD,61497,7917,2025-10-06 22:10:06.028332,1,248664083
5427684290,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,ON TIME,2526.68,CASH,84315,2741,2025-10-06 22:10:06.028332,1,354498643
3265154092,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,ON TIME,3161.43,UPI,554,3442,2025-10-06 22:10:06.028332,1,1753985288
4898355547,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,ON TIME,956.4,CARD,14630,1318,2025-10-06 22:10:06.028332,1,768100104
6568151549,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,ON TIME,905.47,CASH,67714,115,2025-10-06 22:10:06.028332,1,1111964656
6006693867,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,ON TIME,1371.17,CARD,91362,9021,2025-10-06 22:10:06.028332,1,1350587214
374186990,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,SLIGHTLY DELAYED,1601.19,WALLET,77203,7955,2025-10-06 22:10:06.028332,1,309514554
4455336265,43431724,2023-08-30 19:37:06,2023-08-30 19:47:06,2023-08-30 19:45:06,ON TIME,2362.33,UPI,64046,3784,2025-10-06 22:10:06.028332,1,928527290
3539286337,77559557,2023-04-25 20:32:24,2023-04-25 20:44:24,2023-04-25 20:39:24,ON TIME,1463.8,WALLET,94899,2463,2025-10-06 22:10:06.028332,1,837440762
9171116867,87107263,2023-10-22 11:15:33,2023-10-22 11:25:33,2023-10-22 11:37:33,SLIGHTLY DELAYED,822.63,CARD,73907,6899,2025-10-06 22:10:06.028332,1,776008192
5504941865,76512976,2024-01-28 02:39:11,2024-01-28 02:55:11,2024-01-28 03:06:11,SLIGHTLY DELAYED,2287.68,WALLET,56077,9809,2025-10-06 22:10:06.028332,1,403117251
5868326481,37556526,2024-03-15 21:07:07,2024-03-15 21:24:07,2024-03-15 21:21:07,ON TIME,1962.35,WALLET,94140,3106,2025-10-06 22:10:06.028332,1,300037473
2137046916,12059049,2024-02-03 08:50:32,2024-02-03 09:03:32,2024-02-03 09:01:32,ON TIME,3373.96,UPI,12377,1007,2025-10-06 22:10:06.028332,1,1857624115
