product_id,date,stock_received,damaged_stock,ETL_updated_ts,ETL_DATASOURCE_NAME,date_key,product_key,inventory_product_date_key
153019,,4,1,2025-10-06 22:12:56.334725,1,,497066718,817663796
848226,,4,1,2025-10-06 22:12:56.334725,1,,1729827112,416048606
965755,,1,0,2025-10-06 22:12:56.334725,1,,2078445887,1437563258
39154,,4,0,2025-10-06 22:12:56.334725,1,,1327604593,406370363
34186,,3,1,2025-10-06 22:12:56.334725,1,,1273095001,293318276
478531,,4,1,2025-10-06 22:12:56.334725,1,,901900830,1841025573
812607,,4,0,2025-10-06 22:12:56.334725,1,,1380872453,786935365
818990,,4,0,2025-10-06 22:12:56.334725,1,,251967856,1267377982
284460,,4,0,2025-10-06 22:12:56.334725,1,,1083135401,484232032
654297,,4,1,2025-10-06 22:12:56.334725,1,,493986690,266193757
376447,,4,0,2025-10-06 22:12:56.334725,1,,1127102493,1679345687
888807,,1,0,2025-10-06 22:12:56.334725,1,,1701046484,526278205
41853,,4,0,2025-10-06 22:12:56.334725,1,,156111053,428010927
257719,,4,0,2025-10-06 22:12:56.334725,1,,1100680631,1339262093
799952,,3,0,2025-10-06 22:12:56.334725,1,,668579787,1719160320
833557,,4,0,2025-10-06 22:12:56.334725,1,,1245931918,1143919709
324809,,1,0,2025-10-06 22:12:56.334725,1,,255369313,1580926372
592784,,3,0,2025-10-06 22:12:56.334725,1,,1562413714,608333711
487065,,4,0,2025-10-06 22:12:56.334725,1,,1820956768,1700693798
734789,,4,0,2025-10-06 22:12:56.334725,1,,35227595,1621722562
654623,,4,0,2025-10-06 22:12:56.334725,1,,1591468152,1521959682
990993,,1,0,2025-10-06 22:12:56.334725,1,,182906398,2129648854
762527,,4,0,2025-10-06 22:12:56.334725,1,,329436691,142573468
602241,,1,1,2025-10-06 22:12:56.334725,1,,1642929732,422389050
491521,,3,0,2025-10-06 22:12:56.334725,1,,1355063782,273103686
832348,,3,1,2025-10-06 22:12:56.334725,1,,1150628393,1135670466
567671,,4,0,2025-10-06 22:12:56.334725,1,,871692779,894439335
540618,,3,0,2025-10-06 22:12:56.334725,1,,73358530,1922165968
687218,,3,1,2025-10-06 22:12:56.334725,1,,1314693034,2066885633
328457,,3,0,2025-10-06 22:12:56.334725,1,,1715494761,736587456
300159,,3,1,2025-10-06 22:12:56.334725,1,,1415353469,1114308150
378676,,3,0,2025-10-06 22:12:56.334725,1,,1669795077,1565619806
532965,,4,0,2025-10-06 22:12:56.334725,1,,301069127,1044978790
305754,,1,0,2025-10-06 22:12:56.334725,1,,619109509,1995976981
611575,,3,0,2025-10-06 22:12:56.334725,1,,14328499,1925705290
621677,,3,0,2025-10-06 22:12:56.334725,1,,180408731,47918958
306177,,4,0,2025-10-06 22:12:56.334725,1,,1525819089,884850307
901144,,3,0,2025-10-06 22:12:56.334725,1,,1352129620,1998881615
53833,,4,0,2025-10-06 22:12:56.334725,1,,1504830200,132194942
490602,,4,0,2025-10-06 22:12:56.334725,1,,769559771,1229124615
287070,,1,0,2025-10-06 22:12:56.334725,1,,1647839942,1275164616
317242,,3,0,2025-10-06 22:12:56.334725,1,,907771087,1398933157
461804,,3,0,2025-10-06 22:12:56.334725,1,,283755580,1865281
820541,,3,0,2025-10-06 22:12:56.334725,1,,950750353,1158993524
91670,,3,1,2025-10-06 22:12:56.334725,1,,1550787547,121127953
144124,,3,1,2025-10-06 22:12:56.334725,1,,379707586,1003744038
677542,,1,0,2025-10-06 22:12:56.334725,1,,1050531960,1339348009
604184,,1,0,2025-10-06 22:12:56.334725,1,,519693845,1859010755
968887,,4,0,2025-10-06 22:12:56.334725,1,,1182035670,1278436059
700048,,3,1,2025-10-06 22:12:56.334725,1,,809445133,1561741013
473647,,3,0,2025-10-06 22:12:56.334725,1,,1733243853,1211248957
753354,,3,0,2025-10-06 22:12:56.334725,1,,735880283,740485870
490939,,4,0,2025-10-06 22:12:56.334725,1,,660219871,985635131
970529,,3,1,2025-10-06 22:12:56.334725,1,,590705616,1002588227
433521,,3,1,2025-10-06 22:12:56.334725,1,,582652347,2045417634
927651,,3,0,2025-10-06 22:12:56.334725,1,,1862532055,863390328
942001,,3,1,2025-10-06 22:12:56.334725,1,,1043912028,1499740637
585299,,3,0,2025-10-06 22:12:56.334725,1,,949815871,1389046676
52729,,4,0,2025-10-06 22:12:56.334725,1,,531297442,609727061
661577,,3,0,2025-10-06 22:12:56.334725,1,,1306047591,1579389401
951463,,4,0,2025-10-06 22:12:56.334725,1,,170729287,996333851
243235,,3,1,2025-10-06 22:12:56.334725,1,,845513255,380412586
564692,,2,0,2025-10-06 22:12:56.334725,1,,171152667,145445534
131748,,2,0,2025-10-06 22:12:56.334725,1,,1024605301,237448252
