order_id,product_id,quantity,unit_price,ETL_updated_ts,ETL_DATASOURCE_NAME,order_key,product_key,order_product_key
1961864118,642612,3,517.03,2025-10-06 22:10:08.366380,1,1471160553,1800915091,334268377
1549769649,378676,1,881.42,2025-10-06 22:10:08.366380,1,1082710678,1669795077,1316389443
9185164487,741341,2,923.84,2025-10-06 22:10:08.366380,1,1253483929,1767499626,566559499
9644738826,561860,1,874.78,2025-10-06 22:10:08.366380,1,248664083,314419203,737571339
5427684290,602241,2,976.55,2025-10-06 22:10:08.366380,1,354498643,1642929732,1787407052
3265154092,681063,1,321.28,2025-10-06 22:10:08.366380,1,1753985288,750324095,543712323
4898355547,56589,3,517.77,2025-10-06 22:10:08.366380,1,768100104,262577165,1188761693
6568151549,500739,2,359.98,2025-10-06 22:10:08.366380,1,1111964656,2088914548,1784397846
6006693867,490939,1,80.25,2025-10-06 22:10:08.366380,1,1350587214,660219871,1950286569
374186990,760828,2,563.45,2025-10-06 22:10:08.366380,1,309514554,1249739333,976570869
4455336265,753354,3,423.56,2025-10-06 22:10:08.366380,1,928527290,735880283,1745988082
3539286337,684939,1,727.95,2025-10-06 22:10:08.366380,1,837440762,2066068749,109502064
9171116867,500739,3,359.98,2025-10-06 22:10:08.366380,1,776008192,2088914548,445129872
5504941865,540618,1,317.05,2025-10-06 22:10:08.366380,1,403117251,73358530,336045731
5868326481,53833,3,134.69,2025-10-06 22:10:08.366380,1,300037473,1504830200,1692163699
2137046916,455755,2,44.09,2025-10-06 22:10:08.366380,1,1857624115,1899574707,1039035593
8195544338,131937,1,287.81,2025-10-06 22:10:08.366380,1,1413886354,1261682347,1889899789
2889700050,798639,1,211.25,2025-10-06 22:10:08.366380,1,47297582,208459410,1269601195
65827885,324809,3,608.0,2025-10-06 22:10:08.366380,1,133605253,255369313,1187185095
4656471694,679284,1,877.89,2025-10-06 22:10:08.366380,1,1377309712,1768671768,1429410160
6625178717,952168,3,236.95,2025-10-06 22:10:08.366380,1,895145856,1306578566,1099431687
7169557514,706112,2,478.79,2025-10-06 22:10:08.366380,1,1124816605,614053116,312482014
2268306684,812607,2,416.65,2025-10-06 22:10:08.366380,1,1740855558,1380872453,2029653286
6905293278,799952,1,922.64,2025-10-06 22:10:08.366380,1,1035001578,668579787,141391445
1769493463,709916,3,33.76,2025-10-06 22:10:08.366380,1,161819333,2133218441,1031113370
5003387344,67197,3,552.2,2025-10-06 22:10:08.366380,1,2085732585,1369965279,2033194658
